time,FRF31
2021-01-01,-0.81
2021-01-02,0.28
2021-01-03,2.62
2021-01-04,3.22
2021-01-05,1.76
2021-01-06,0.48999998
2021-01-07,0.53
2021-01-08,0.65
2021-01-09,-0.71
2021-01-10,-0.51
2021-01-11,-2.09
2021-01-12,-1.4
2021-01-13,-0.38
2021-01-14,-0.55
2021-01-15,-2.9199998
2021-01-16,-4.5099998
2021-01-17,-9.139999
2021-01-18,-11.49
2021-01-19,-2.04
2021-01-20,3.9099998
2021-01-21,4.5899997
2021-01-22,6.02
2021-01-23,6.74
2021-01-24,2.26
2021-01-25,0.02
2021-01-26,-0.31
2021-01-27,-0.87
2021-01-28,-1.67
2021-01-29,-0.45
2021-01-30,0.45
2021-01-31,-6.25
2021-02-01,-6.97
2021-02-02,-1.56
2021-02-03,4.98
2021-02-04,4.38
2021-02-05,0.38
2021-02-06,-1.01
2021-02-07,-4.85
2021-02-08,-7.2
2021-02-09,-8.51
2021-02-10,-6.71
2021-02-11,-8.679999
2021-02-12,-10.9
2021-02-13,-6.39
2021-02-14,-4.4
2021-02-15,-7.1
2021-02-16,-4.72
2021-02-17,1.12
2021-02-18,2.8799999
2021-02-19,2.52
2021-02-20,2.6699998
2021-02-21,3.31
2021-02-22,5.12
2021-02-23,4.58
2021-02-24,9.389999
2021-02-25,9.44
2021-02-26,8.94
2021-02-27,5.5699997
2021-02-28,4.88
2021-03-01,3.57
2021-03-02,5.21
2021-03-03,7.2999997
2021-03-04,6.52
2021-03-05,2.62
2021-03-06,0.34
2021-03-07,1.38
2021-03-08,0.48999998
2021-03-09,-1.37
2021-03-10,-0.84
2021-03-11,0.14
2021-03-12,6.46
2021-03-13,6.58
2021-03-14,6.99
2021-03-15,4.8599997
2021-03-16,2.22
2021-03-17,3.49
2021-03-18,1.75
2021-03-19,-0.13
2021-03-20,-2.33
2021-03-21,-2.48
2021-03-22,1.79
2021-03-23,3.1
2021-03-24,8.83
2021-03-25,7.0699997
2021-03-26,9.0
2021-03-27,13.09
2021-03-28,5.85
2021-03-29,8.11
2021-03-30,14.11
2021-03-31,14.08
2021-04-01,14.46
2021-04-02,9.13
2021-04-03,4.49
2021-04-04,3.6399999
2021-04-05,6.5299997
2021-04-06,6.2999997
2021-04-07,5.85
2021-04-08,2.4099998
2021-04-09,5.45
2021-04-10,10.429999
2021-04-11,10.05
2021-04-12,8.23
2021-04-13,2.76
2021-04-14,3.25
2021-04-15,1.9399999
2021-04-16,2.6299999
2021-04-17,3.84
2021-04-18,6.94
2021-04-19,8.059999
2021-04-20,8.46
2021-04-21,10.059999
2021-04-22,7.62
2021-04-23,5.1
2021-04-24,7.37
2021-04-25,5.97
2021-04-26,3.86
2021-04-27,4.89
2021-04-28,8.72
2021-04-29,11.61
2021-04-30,14.099999
2021-05-01,10.57
2021-05-02,9.04
2021-05-03,7.46
2021-05-04,10.08
2021-05-05,11.969999
2021-05-06,8.58
2021-05-07,9.889999
2021-05-08,7.8799996
2021-05-09,13.08
2021-05-10,16.949999
2021-05-11,21.22
2021-05-12,19.23
2021-05-13,16.81
2021-05-14,13.0
2021-05-15,13.299999
2021-05-16,13.49
2021-05-17,11.599999
2021-05-18,12.84
2021-05-19,11.21
2021-05-20,13.059999
2021-05-21,12.55
2021-05-22,12.75
2021-05-23,11.59
2021-05-24,12.16
2021-05-25,13.38
2021-05-26,12.469999
2021-05-27,14.2
2021-05-28,11.389999
2021-05-29,11.78
2021-05-30,11.929999
2021-05-31,13.2
2021-06-01,11.45
2021-06-02,14.11
2021-06-03,14.2699995
2021-06-04,16.039999
2021-06-05,18.75
2021-06-06,17.25
2021-06-07,17.68
2021-06-08,18.5
2021-06-09,17.77
2021-06-10,16.59
2021-06-11,17.23
2021-06-12,18.369999
2021-06-13,14.2699995
2021-06-14,14.66
2021-06-15,16.31
2021-06-16,19.8
2021-06-17,21.1
2021-06-18,22.369999
2021-06-19,23.16
2021-06-20,24.09
2021-06-21,25.119999
2021-06-22,23.289999
2021-06-23,21.58
2021-06-24,23.85
2021-06-25,19.4
2021-06-26,19.42
2021-06-27,19.199999
2021-06-28,20.189999
2021-06-29,21.31
2021-06-30,20.91
2021-07-01,18.46
2021-07-02,18.49
2021-07-03,19.09
2021-07-04,18.51
2021-07-05,19.76
2021-07-06,21.35
2021-07-07,23.66
2021-07-08,22.449999
2021-07-09,22.88
2021-07-10,18.84
2021-07-11,19.619999
2021-07-12,20.439999
2021-07-13,22.789999
2021-07-14,24.08
2021-07-15,22.32
2021-07-16,22.31
2021-07-17,22.83
2021-07-18,22.529999
2021-07-19,21.13
2021-07-20,18.09
2021-07-21,17.71
2021-07-22,18.26
2021-07-23,18.65
2021-07-24,20.039999
2021-07-25,20.99
2021-07-26,22.73
2021-07-27,23.22
2021-07-28,23.689999
2021-07-29,22.0
2021-07-30,21.369999
2021-07-31,21.27
2021-08-01,18.869999
2021-08-02,17.6
2021-08-03,17.8
2021-08-04,17.779999
2021-08-05,16.63
2021-08-06,16.9
2021-08-07,18.85
2021-08-08,20.43
2021-08-09,19.47
2021-08-10,20.75
2021-08-11,19.27
2021-08-12,18.27
2021-08-13,20.01
2021-08-14,23.449999
2021-08-15,23.35
2021-08-16,23.88
2021-08-17,17.26
2021-08-18,15.839999
2021-08-19,17.44
2021-08-20,19.27
2021-08-21,18.17
2021-08-22,18.67
2021-08-23,18.59
2021-08-24,15.599999
2021-08-25,13.429999
2021-08-26,13.82
2021-08-27,13.79
2021-08-28,13.36
2021-08-29,14.059999
2021-08-30,13.719999
2021-08-31,14.44
2021-09-01,15.45
2021-09-02,15.5199995
2021-09-03,16.119999
2021-09-04,15.53
2021-09-05,13.87
2021-09-06,12.799999
2021-09-07,16.029999
2021-09-08,16.58
2021-09-09,17.47
2021-09-10,17.59
2021-09-11,17.97
2021-09-12,18.31
2021-09-13,18.07
2021-09-14,17.369999
2021-09-15,17.8
2021-09-16,19.609999
2021-09-17,15.599999
2021-09-18,13.139999
2021-09-19,10.53
2021-09-20,10.66
2021-09-21,9.429999
2021-09-22,10.2699995
2021-09-23,13.23
2021-09-24,14.7699995
2021-09-25,16.25
2021-09-26,16.48
2021-09-27,15.82
2021-09-28,14.71
2021-09-29,11.179999
2021-09-30,12.179999
2021-10-01,10.13
2021-10-02,13.48
2021-10-03,14.36
2021-10-04,15.16
2021-10-05,17.48
2021-10-06,15.15
2021-10-07,12.63
2021-10-08,8.11
2021-10-09,6.8599997
2021-10-10,5.77
2021-10-11,6.5299997
2021-10-12,8.36
2021-10-13,6.1299996
2021-10-14,6.6099997
2021-10-15,10.469999
2021-10-16,7.83
2021-10-17,6.79
2021-10-18,7.8799996
2021-10-19,10.889999
2021-10-20,14.99
2021-10-21,13.889999
2021-10-22,9.48
2021-10-23,6.5099998
2021-10-24,5.3199997
2021-10-25,6.8799996
2021-10-26,6.6299996
2021-10-27,8.929999
2021-10-28,9.13
2021-10-29,9.26
2021-10-30,10.78
2021-10-31,11.84
2021-11-01,10.32
2021-11-02,8.47
2021-11-03,8.639999
2021-11-04,11.63
2021-11-05,7.12
2021-11-06,6.75
2021-11-07,5.7799997
2021-11-08,6.56
2021-11-09,6.08
2021-11-10,6.52
2021-11-11,5.85
2021-11-12,3.06
2021-11-13,4.65
2021-11-14,3.6899998
2021-11-15,4.74
2021-11-16,6.2
2021-11-17,3.4099998
2021-11-18,6.3599997
2021-11-19,7.96
2021-11-20,9.469999
2021-11-21,8.17
2021-11-22,5.1
2021-11-23,2.1399999
2021-11-24,3.4299998
2021-11-25,1.49
2021-11-26,2.53
2021-11-27,0.98999995
2021-11-28,-0.07
2021-11-29,0.55
2021-11-30,1.1999999
2021-12-01,3.46
2021-12-02,4.85
2021-12-03,0.93
2021-12-04,0.51
2021-12-05,1.17
2021-12-06,0.47
2021-12-07,-0.90999997
2021-12-08,-2.28
2021-12-09,-2.19
2021-12-10,-1.04
2021-12-11,-2.48
2021-12-12,-2.83
2021-12-13,-3.0
2021-12-14,1.43
2021-12-15,3.53
2021-12-16,5.68
2021-12-17,4.65
2021-12-18,2.57
2021-12-19,4.1
2021-12-20,1.36
2021-12-21,-3.04
2021-12-22,-3.9299998
2021-12-23,-4.5499997
2021-12-24,2.83
2021-12-25,-1.31
2021-12-26,-8.86
2021-12-27,-9.86
2021-12-28,-4.36
2021-12-29,-0.14
2021-12-30,3.6699998
2021-12-31,8.96
